央视频道,#genre#
中央1-综合,http://60.208.44.186:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
中央2-财经,http://60.208.44.186:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
中央3-综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
中央4-国际,http://60.208.44.186:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
中央5-体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
中央6-电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
中央7-军事,http://60.208.44.186:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
中央8-电视剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
中央9-记录,http://60.208.44.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
中央10-科教,http://60.208.44.186:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
中央11-戏曲,http://60.208.44.186:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
中央12-社法,http://60.208.44.186:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
中央13-新闻,http://60.208.44.186:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
中央14-少儿,http://60.208.44.186:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
中央15-音乐,http://60.208.44.186:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
中央5+赛事,http://60.208.44.186:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
山东新闻,http://60.208.44.186:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
齐鲁频道,http://60.208.44.186:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://60.208.44.186:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://60.208.44.186:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
济南教育,http://60.208.44.186:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://60.208.44.186:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
山东少儿,http://60.208.44.186:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://60.208.44.186:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://60.208.44.186:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://60.208.44.186:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://60.208.44.186:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://60.208.44.186:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://60.208.44.186:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://60.208.44.186:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://60.208.44.186:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://60.208.44.186:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://60.208.44.186:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://60.208.44.186:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://60.208.44.186:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://60.208.44.186:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://60.208.44.186:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://60.208.44.186:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://60.208.44.186:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://60.208.44.186:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://60.208.44.186:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
喜爱频道,#genre#
晴彩广场舞高清,http://36.24.17.227:8000/udp/233.50.201.226:5140
黑莓电影[1920x1080],http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
